unidade;mes;ano;grau;escore;predicao_obito;saidas_rn;obitos_ocorridos;obitos_esperados
HJK;Janeiro;2025;I;0 a 5;9,3;3;0;0,28
HJK;Janeiro;2025;II;6 a 10;55,9;0;0;0,0
HJK;Janeiro;2025;III;11 a 5 ;73,1;0;0;0,0
HJK;Janeiro;2025;IV;> 15;100,0;0;0;0,0
HJK;Fevereiro;2025;I;0 a 5;9,3;1;0;0,09
HJK;Fevereiro;2025;II;6 a 10;55,9;1;0;0,56
HJK;Fevereiro;2025;III;11 a 5 ;73,1;0;0;0,0
HJK;Fevereiro;2025;IV;> 15;100,0;0;0;0,0
HJK;Mar̤o;2025;I;0 a 5;9,3;2;0;0,19
HJK;Mar̤o;2025;II;6 a 10;55,9;0;0;0,0
HJK;Mar̤o;2025;III;11 a 5 ;73,1;2;1;1,46
HJK;Mar̤o;2025;IV;> 15;100,0;0;0;0,0
HJK;Abril;2025;I;0 a 5;9,3;0;0;0,0
HJK;Abril;2025;II;6 a 10;55,9;1;0;0,56
HJK;Abril;2025;III;11 a 5 ;73,1;1;0;0,73
HJK;Abril;2025;IV;> 15;100,0;0;0;0,0
HJK;Maio;2025;I;0 a 5;9,3;0;0;0,0
HJK;Maio;2025;II;6 a 10;55,9;0;0;0,0
HJK;Maio;2025;III;11 a 5 ;73,1;3;2;2,19
HJK;Maio;2025;IV;> 15;100,0;0;0;0,0
HJK;Junho;2025;I;0 a 5;9,3;1;0;0,09
HJK;Junho;2025;II;6 a 10;55,9;0;0;0,0
HJK;Junho;2025;III;11 a 5 ;73,1;0;0;0,0
HJK;Junho;2025;IV;> 15;100,0;0;0;0,0
HJK;Julho;2025;I;0 a 5;9,3;0;0;0,0
HJK;Julho;2025;II;6 a 10;55,9;0;0;0,0
HJK;Julho;2025;III;11 a 5 ;73,1;1;0;0,73
HJK;Julho;2025;IV;> 15;100,0;0;0;0,0
HJK;Agosto;2025;I;0 a 5;9,3;0;0;0,0
HJK;Agosto;2025;II;6 a 10;55,9;2;0;1,12
HJK;Agosto;2025;III;11 a 5 ;73,1;2;1;1,46
HJK;Agosto;2025;IV;> 15;100,0;0;0;0,0
HJK;Setembro;2025;I;0 a 5;9,3;0;0;0,0
HJK;Setembro;2025;II;6 a 10;55,9;0;0;0,0
HJK;Setembro;2025;III;11 a 5 ;73,1;0;0;0,0
HJK;Setembro;2025;IV;> 15;100,0;0;0;0,0
HJK;Outubro;2025;I;0 a 5;9,3;1;0;0,09
HJK;Outubro;2025;II;6 a 10;55,9;0;0;0,0
HJK;Outubro;2025;III;11 a 5 ;73,1;2;1;1,46
HJK;Outubro;2025;IV;> 15;100,0;0;0;0,0
HJK;Novembro;2025;I;0 a 5;9,3;1;0;0,09
HJK;Novembro;2025;II;6 a 10;55,9;1;0;0,56
HJK;Novembro;2025;III;11 a 5 ;73,1;2;1;1,46
HJK;Novembro;2025;IV;> 15;100,0;0;0;0,0
HJK;Dezembro;2025;I;0 a 5;9,3;0;0;0,0
HJK;Dezembro;2025;II;6 a 10;55,9;1;0;0,56
HJK;Dezembro;2025;III;11 a 5 ;73,1;0;0;0,0
